ID,N_total,N_shell/N_total,R_min,R_max,R_avg,R_std,R_skew,R_kurt,CN_min,CN_max,CN_avg,CN_std,CN_skew,CN_kurt,SCN_min,SCN_max,SCN_avg,SCN_std,SCN_skew,SCN_kurt,ABL_min,ABL_max,ABL_avg,ABL_std,ABL_skew,ABL_kurt,BL_min,BL_max,BL_avg,BL_std,BL_skew,BL_kurt,SBL_min,SBL_max,SBL_avg,SBL_std,SBL_skew,SBL_kurt,ABA_min,ABA_max,ABA_avg,ABA_std,ABA_skew,ABA_kurt,BA_min,BA_max,BA_avg,BA_std,BA_skew,BA_kurt,SBA_min,SBA_max,SBA_avg,SBA_std,SBA_skew,SBA_kurt,Classical_E,Classical_E/N,Mermin_E,Delta_E,Delta_E/N,Fermi_L
62,781,0.485275288,8.131226256,23.82375083,13.73876222,2.246257712,1.429380926,4.411536591,4,12,8.61971831,1.725397144,-0.163076621,-0.686721282,4,11,7.319261214,1.241233165,0.017845731,-0.138729442,2.558168845,2.958034595,2.816781331,0.05577618,-0.621392174,1.126657935,2.308324284,3.09756259,2.824439959,0.142405657,-0.152792875,-0.503788882,2.308324284,3.097051178,2.801028799,0.146168166,-0.087663493,-0.431288275,73.90275532,103.8557845,94.58800389,5.010583512,-1.558371549,1.994703296,44.72994196,179.7544528,95.79532433,33.51789262,0.434423981,-0.882019511,44.72994196,179.7544528,92.66074346,33.35558539,0.556999813,-0.761319959,-2829.3251,-3.622695391,-2583.7433,245.5818,0.314445327,-3.7906
71,643,0.503888025,8.283064031,16.99470092,12.61376944,1.7035846,-0.194049051,-0.191374842,2,12,8.267496112,1.717597516,-0.357539777,-0.164447985,2,11,7.064814815,1.362522348,-0.337948433,0.446966235,2.403063773,2.945857099,2.803516732,0.063865737,-1.264548775,4.110117568,2.352809385,3.08675979,2.8126571,0.141206391,-0.177467487,-0.458486972,2.352809385,3.085019449,2.788103887,0.147332007,-0.092335326,-0.506380425,70.83441582,101.8767202,94.67670632,5.189789333,-1.690514985,3.049384431,47.87015096,179.7847379,95.97954545,33.4644465,0.447374356,-0.851870653,47.87015096,179.7847379,92.94763832,33.23039447,0.559231732,-0.746500775,-2316.924,-3.603303266,-2118.4331,198.4909,0.308695023,-3.8128
72,701,0.495007133,7.858648781,22.04016973,13.18966646,2.043330517,0.94804398,2.865703694,3,12,8.482168331,1.81148207,-0.175380471,-0.65474578,3,11,7.126801153,1.290719149,-0.091503111,-0.108394588,2.547399121,2.956131636,2.810668032,0.059034329,-0.816580161,1.429654393,2.304883945,3.096702278,2.819377947,0.139871831,-0.106493061,-0.505767322,2.304883945,3.096702278,2.79838581,0.144934729,-0.036505759,-0.526362393,66.85383596,101.4034025,94.25309598,5.412093995,-1.740201218,3.025571765,46.79235363,179.7811799,95.68240358,33.46883756,0.452070965,-0.848421486,46.79235363,178.6285732,92.1963475,33.0140945,0.57679416,-0.744118401,-2526.7627,-3.604511698,-2314.7208,212.0419,0.302484879,-3.8301
73,1073,0.4305685,12.08673622,20.5230553,15.22308483,1.695917776,0.764047751,0.106757508,3,12,8.754892824,1.748276553,-0.246941103,-0.637070807,3,11,7.303030303,1.245883249,-0.075659543,-0.176366028,2.501293616,2.938810676,2.818252263,0.055451103,-0.910096379,1.658920656,2.328039089,3.074119223,2.826097758,0.130737232,-0.213216753,-0.481198658,2.328039089,3.073800742,2.796725043,0.137614016,-0.074199441,-0.57455042,75.94512785,106.7580053,95.31813433,4.489747108,-1.718232188,2.761091306,47.82639114,179.7987195,96.35070275,33.84953598,0.478414757,-0.753627609,47.82639114,179.7987195,93.12358723,33.49591812,0.578304961,-0.694692595,-3929.6183,-3.662272414,-3585.6016,344.0167,0.320612022,-3.7638
81,572,0.576923077,4.026953654,18.81149559,12.35591312,2.75846094,-0.505438483,0.521974491,3,12,8.793706294,1.955573714,-0.297558557,-0.607356137,3,12,7.487878788,1.416845586,-0.325345531,0.366834409,2.528081079,3.018228741,2.821602502,0.067211849,-0.429633069,0.990124231,2.126972731,3.204848358,2.832593423,0.170503749,-0.005998787,-0.309079824,2.126972731,3.203867975,2.810551291,0.174371827,0.021373694,-0.256295343,58.94083366,100.9361776,93.40291818,5.576822041,-1.901395724,4.842749277,42.8309545,179.9116781,95.0828145,33.57823294,0.436224483,-0.888356916,42.84204453,179.9116781,92.16383853,33.28963979,0.558427754,-0.761695409,-2032.7476,-3.553754545,-1851.7862,180.9614,0.316366084,-3.8257
82,576,0.555555556,4.601559677,18.49892194,12.1768718,2.443141399,-0.424130494,0.479950929,3,12,8.204861111,1.651258487,-0.036538622,-0.525098342,3,11,7.190625,1.238580281,0.00152657,0.26724869,2.553429357,2.930979138,2.796739803,0.057910851,-0.497705377,0.316053269,2.305353118,3.080510997,2.804818061,0.140329955,-0.166086823,-0.539711162,2.305353118,3.080510997,2.785536087,0.14483667,-0.065667041,-0.59457193,74.15004774,102.7654692,94.28249144,5.307622697,-1.328650666,1.187358535,46.17578646,179.7117087,95.51957679,33.41508697,0.446967216,-0.874552552,46.17578646,179.3708801,92.7175207,33.32648857,0.56457408,-0.744897898,-2066.7171,-3.588050521,-1898.2151,168.502,0.292538194,-3.7448
83,791,0.450063211,10.50418052,16.27356737,13.51693443,1.05613028,0.16967164,-0.181363055,5,12,8.983565107,1.698393264,-0.35747236,-0.592603498,5,10,7.575842697,1.241253623,-0.226936784,-0.629454483,2.59429895,2.963621514,2.826351726,0.052168968,-0.593104182,0.595930386,2.357927268,3.10005387,2.833271155,0.137408792,-0.109268436,-0.584654362,2.357927268,3.096739576,2.808318839,0.141386286,-0.018346714,-0.565094188,76.12645713,102.2088378,95.06529206,4.340192526,-1.716386448,2.568730892,47.67973632,179.8193245,96.10332048,33.80427098,0.467853564,-0.781325427,47.67973632,179.6695855,92.96862873,33.72262385,0.591152615,-0.659252449,-2890.7774,-3.654585841,-2641.6977,249.0797,0.314892162,-3.7376
91,361,0.736842105,1.364054078,19.87846521,11.75774698,3.781686111,-0.233299376,-0.474912676,3,12,7.900277008,1.860712209,0.378776677,-0.66569407,3,11,7.056390977,1.247116123,0.220699444,0.187523512,2.582812184,2.938881623,2.788817751,0.058346804,-0.386239734,0.137345052,2.324099395,3.122674174,2.797877969,0.147417842,-0.054421112,-0.436505155,2.324099395,3.122674174,2.786381951,0.14815736,-0.018359441,-0.410302614,69.00359357,101.4248119,91.80917201,5.936169876,-0.844502039,0.14734902,44.86074702,179.7296565,93.78051516,33.2837277,0.492425154,-0.834972978,44.86074702,179.7296565,91.22249551,32.74023586,0.590796399,-0.727546986,-1252.6011,-3.469809141,-1165.5951,87.006,0.24101385,-3.8812
92,364,0.667582418,0.519119623,19.51062355,11.28828577,3.608657618,-0.212128466,-0.231532859,4,12,8.005494505,1.767466172,0.20149954,-0.888083726,4,11,7.098765432,1.252484522,0.318825623,-0.147114432,2.62856482,2.936775987,2.791906935,0.058803589,-0.304894564,-0.350033555,2.371572474,3.093332992,2.800807852,0.148080138,-0.031756542,-0.662636776,2.371572474,3.093332992,2.789694898,0.150572311,0.000784501,-0.675336953,76.62249275,102.2818405,92.66902979,5.53023119,-0.84096179,-0.14436807,49.0077315,179.7788672,94.30412555,33.2228378,0.472216484,-0.86522849,49.0077315,179.7788672,91.40119151,32.70011011,0.585055495,-0.73953555,-1279.939,-3.516315934,-1185.9228,94.0162,0.258286264,-3.8222
93,721,0.463245492,9.585591601,18.11939482,13.08981816,1.260456876,0.531522769,1.273961494,4,12,8.629680999,1.740898884,-0.198127908,-0.671527718,4,11,7.233532934,1.234859576,0.019154834,-0.078148379,2.452794544,2.967519695,2.811979181,0.052833287,-1.251137752,4.435121186,2.233523002,3.064335491,2.819227393,0.128935171,-0.247776547,-0.269424139,2.233523002,3.061851891,2.793512905,0.134766139,-0.186662101,-0.279157224,77.31279726,102.3752638,95.18972884,4.36385776,-1.482955575,1.702127147,45.78156582,179.566536,96.25350499,33.87869103,0.503337093,-0.698331783,45.78156582,179.1591574,93.0776437,33.60833322,0.610900348,-0.603636987,-2627.6767,-3.644489182,-2399.1362,228.5405,0.316977115,-3.7618
