ID,N_total,N_shell/N_total,R_min,R_max,R_avg,R_std,R_skew,R_kurt,CN_min,CN_max,CN_avg,CN_std,CN_skew,CN_kurt,SCN_min,SCN_max,SCN_avg,SCN_std,SCN_skew,SCN_kurt,ABL_min,ABL_max,ABL_avg,ABL_std,ABL_skew,ABL_kurt,BL_min,BL_max,BL_avg,BL_std,BL_skew,BL_kurt,SBL_min,SBL_max,SBL_avg,SBL_std,SBL_skew,SBL_kurt,ABA_min,ABA_max,ABA_avg,ABA_std,ABA_skew,ABA_kurt,BA_min,BA_max,BA_avg,BA_std,BA_skew,BA_kurt,SBA_min,SBA_max,SBA_avg,SBA_std,SBA_skew,SBA_kurt,Classical_E,Classical_E/N,Mermin_E,Delta_E,Delta_E/N,Fermi_L
201,236,0.576271186,7.268656716,9.665201697,8.59211432,0.542016725,-0.707939392,0.053279352,6,12,9.474576271,2.43629249,-0.230934274,-1.607761871,6,11,7.669117647,1.591901481,0.640474645,-0.64044831,2.675155007,2.943438929,2.834447886,0.059021456,-0.722660362,-0.241191755,2.369950632,3.395799906,2.845997093,0.147893551,0.142635789,0.253571545,2.369950632,3.395799906,2.822111545,0.157887157,0.330392099,0.341476723,81.03858721,98.06993485,92.97660138,5.007611932,-0.630955973,-1.061391485,44.73346175,179.5962981,95.27585719,34.69461789,0.605391665,-0.431055618,44.73346175,178.7100474,91.31080143,33.29788112,0.679484131,-0.379064235,-833.70909,-3.532665636,-776.3959,57.31319,0.2428525,-3.9362
202,238,0.575630252,7.344735911,9.907667444,8.630821645,0.485009202,-0.044893021,-0.10438592,5,12,9.521008403,2.288657556,-0.163656564,-1.520230529,5,10,7.751824818,1.282122676,0.134956729,-0.908202,2.688234469,2.93719705,2.835108287,0.05556477,-0.679525034,-0.044230606,2.461065826,3.277892616,2.84429456,0.139721745,0.060514663,-0.165349469,2.461065826,3.272495531,2.817884218,0.145734454,0.204406243,-0.235085853,79.65926961,97.99858701,93.34299383,4.306352211,-0.754589247,-0.402706183,47.3050584,179.7511793,95.16873984,34.3475529,0.552818593,-0.583133411,47.3050584,179.510293,91.38130549,33.43767814,0.661986753,-0.48505988,-844.51605,-3.548386765,-788.9859,55.53015,0.233319958,-3.8607
203,242,0.590909091,6.85308105,9.786037921,8.616890048,0.584327229,-0.503039288,0.250798359,5,12,9.404958678,2.315663827,-0.184863737,-1.509784115,5,11,7.748251748,1.493971602,0.448559273,-0.611141464,2.650911693,2.938876209,2.823435071,0.057068165,-0.79560452,0.194718408,2.417017584,3.202490281,2.833953941,0.147258552,0.065151392,-0.442780829,2.417017584,3.202274973,2.814202632,0.15522887,0.154526419,-0.542794618,81.20847203,99.33466572,93.15050042,4.733188418,-0.689076941,-0.774245405,47.75818247,179.7088612,95.17846737,34.46245296,0.57267831,-0.520526311,48.24218103,179.7088612,91.52828303,33.29736989,0.639975987,-0.508227933,-855.42299,-3.534805744,-799.0694,56.35359,0.232866074,-3.8684
204,247,0.5951417,6.905984555,11.02849226,8.85563433,1.197217609,0.134975949,-1.369201295,5,12,9.481781377,2.16744953,-0.101192836,-1.398844981,5,10,7.870748299,1.172002787,-0.336925213,-1.033366075,2.682726742,2.951670482,2.835576158,0.051178004,-0.48168586,-0.061462068,2.499115644,3.212700266,2.843981647,0.135752512,0.236573879,-0.277419477,2.499115644,3.210480805,2.817999681,0.13336072,0.329836895,-0.211519253,79.68430241,98.08735461,93.40444395,4.33057849,-1.018424703,0.352999349,49.3222625,179.5530415,95.11890088,34.43881322,0.565192422,-0.563342987,49.3222625,179.0865081,91.69758317,33.8511395,0.694765284,-0.399075556,-877.42885,-3.552343522,-824.3784,53.05045,0.21477915,-3.7898
205,250,0.588,6.907795698,10.57882879,8.770550665,0.678907174,-0.159613427,0.244551546,4,12,9.096,2.37937591,-0.185875147,-1.283430922,4,11,7.408163265,1.524930279,0.058681036,-0.557652862,2.600216894,2.930173642,2.819458247,0.06493312,-0.764990366,0.286700409,2.3292619,3.155103326,2.833185594,0.140840563,-0.07566528,-0.305565773,2.3292619,3.151148679,2.805066704,0.145540186,0.045029661,-0.325621305,75.80405054,99.10649577,93.25323163,5.072824237,-0.952663456,-0.017940249,48.65119602,179.8651666,95.46459702,34.53687117,0.591661365,-0.474942637,48.65119602,179.4117578,91.8241927,33.29551093,0.664548809,-0.440585452,-882.77812,-3.53111248,-824.6692,58.10892,0.23243568,-3.8593
206,256,0.5859375,7.487172564,10.2833869,8.868577968,0.64754026,-0.024889069,-0.602298081,5,12,9.140625,2.033964062,-0.056858791,-1.124045734,5,10,7.7,1.208193504,-0.348218288,-0.974173603,2.649326857,2.943865498,2.827540561,0.057485758,-0.530015265,0.070074782,2.405840394,3.173370921,2.837108069,0.152870304,-0.072595731,-0.536722088,2.405840394,3.171022706,2.812516509,0.15774326,0.022138954,-0.620151706,77.87934104,99.36119093,93.29117725,4.748836709,-1.13130694,0.486922999,47.08863245,179.3117088,94.96774139,33.8961525,0.494009742,-0.750754033,47.08863245,179.1676736,91.6098934,33.51788039,0.630138729,-0.585990214,-905.31363,-3.536381367,-844.665,60.64863,0.236908711,-3.7721
207,258,0.550387597,7.864720438,10.48502014,8.941936359,0.575575825,0.430298949,0.06403734,6,12,9.689922481,1.98946036,-0.04262,-1.471464219,6,9,8.007042254,0.829393343,-0.911274697,0.668307992,2.712918028,2.934610286,2.853110947,0.039164368,-0.61708817,0.657910864,2.395229008,3.278155884,2.855374805,0.15406149,0.283780458,-0.134593282,2.395229008,3.278155884,2.834740743,0.160504893,0.337585325,-0.134947354,75.53206787,98.09597166,93.6142969,4.387212297,-1.689172512,3.280636638,47.41613338,179.7889851,95.06100441,34.19683727,0.49330115,-0.745217809,47.41613338,179.7889851,91.45811251,34.17902488,0.656199267,-0.52554499,-915.32647,-3.547777016,-852.0607,63.26577,0.245216163,-3.9341
208,260,0.553846154,8.181707079,10.10372982,8.962871979,0.522606917,0.431242205,-0.799882536,6,12,9.6,2.300243398,-0.155388158,-1.585703434,6,9,7.680555556,1.119770067,-0.09731705,-1.397269663,2.690026504,2.951174484,2.840294838,0.049846019,-0.694628004,-0.10880633,2.434742081,3.442930438,2.848113231,0.138849836,0.203910516,0.249548023,2.434742081,3.442930438,2.82258277,0.14794764,0.410087682,0.371250892,81.35797156,97.94573607,93.42993902,4.520481773,-0.700648869,-0.660185143,44.45203891,179.7678154,95.38102833,34.90163733,0.627579343,-0.392840841,44.45203891,179.7678154,90.97333315,33.59568199,0.745099053,-0.248049702,-923.60481,-3.552326192,-864.9881,58.61671,0.225448885,-4.0266
209,268,0.567164179,8.216066625,10.17293777,9.041383093,0.523285596,0.30331217,-1.031150277,5,12,9.089552239,2.144456093,0.066182239,-1.382242374,5,9,7.440789474,1.07797672,0.042169475,-1.021843242,2.694367116,2.946870555,2.826411539,0.053735229,-0.536829079,-0.470495729,2.455933835,3.111101091,2.835993857,0.137052354,-0.127982149,-0.493588893,2.455933835,3.11009614,2.808430739,0.143306952,0.017479724,-0.550232356,80.09902257,99.66131288,93.72795018,4.562987469,-0.949268572,-0.054627781,47.56070147,179.6306366,95.42168844,34.50459062,0.586095757,-0.502659357,47.56070147,179.4443556,91.50879339,33.38280492,0.692414576,-0.413095464,-952.82346,-3.555311418,-891.2761,61.54736,0.229654328,-3.7364
210,273,0.575091575,7.247499957,10.84430544,9.081051548,0.730321338,-0.015173183,-0.414921278,5,12,8.842490842,2.084807709,0.005162828,-1.187985976,5,11,7.350318471,1.265246718,0.215238072,-0.46310067,2.657017712,2.933015869,2.818667011,0.054092108,-0.35428949,-0.457812398,2.390270696,3.114360448,2.828140809,0.137463925,-0.122884203,-0.470182269,2.390270696,3.114360448,2.803387486,0.143513574,0.010324644,-0.557605154,77.38536624,100.524163,93.7804713,5.002802736,-1.181120486,0.575098052,48.44717306,179.6951658,95.53492946,34.24876331,0.55469811,-0.583480277,48.44717306,179.2458702,92.12596679,33.49728858,0.647094646,-0.524505535,-966.48015,-3.54022033,-902.5798,63.90035,0.234067216,-3.7977
